Year,Country,gold_medal,silver_medal,bronze_medal,total_medal,type_olympic,host_flag
1924,AUT,3,1,0,4,w,0
1924,BEL,0,0,1,1,w,0
1924,CAN,1,0,0,1,w,0
1924,FIN,4,5,3,12,w,0
1924,FRA,0,0,4,4,w,1
1924,GBR,1,1,2,4,w,0
1924,NOR,4,7,6,17,w,0
1924,SUI,2,0,1,3,w,0
1924,SWE,1,1,0,2,w,0
1924,USA,1,2,1,4,w,0
1928,AUT,0,4,2,6,w,0
1928,BEL,0,0,1,1,w,0
1928,CAN,1,0,0,1,w,0
1928,FIN,2,1,1,4,w,0
1928,FRA,2,0,0,2,w,0
1928,GBR,0,0,1,1,w,0
1928,GER,0,0,1,1,w,0
1928,NOR,6,4,5,15,w,0
1928,SUI,0,0,1,1,w,1
1928,SWE,2,2,1,5,w,0
1928,TCH,0,0,1,1,w,0
1928,USA,2,2,2,6,w,0
1932,AUT,1,1,0,2,w,0
1932,CAN,1,1,5,7,w,0
1932,FIN,1,1,1,3,w,0
1932,FRA,2,0,0,2,w,0
1932,GER,0,0,2,2,w,0
1932,HUN,0,0,2,2,w,0
1932,NOR,3,4,3,10,w,0
1932,SUI,0,1,0,1,w,0
1932,SWE,1,2,0,3,w,0
1932,USA,6,5,2,13,w,1
1936,AUT,1,2,2,5,w,0
1936,CAN,0,1,0,1,w,0
1936,FIN,1,2,3,6,w,0
1936,FRA,0,0,1,1,w,0
1936,GBR,1,1,1,3,w,0
1936,GER,4,3,0,7,w,1
1936,HUN,0,0,2,2,w,0
1936,NOR,7,5,3,15,w,0
1936,SUI,1,2,0,3,w,0
1936,SWE,2,2,3,7,w,0
1936,USA,1,0,3,4,w,0
1948,AUT,1,3,4,8,w,0
1948,BEL,2,1,0,3,w,0
1948,CAN,2,0,2,4,w,0
1948,FIN,1,3,2,6,w,0
1948,FRA,2,1,2,5,w,0
1948,GBR,0,0,2,2,w,1
1948,HUN,0,2,0,2,w,0
1948,ITA,1,0,0,1,w,0
1948,NOR,4,3,3,10,w,0
1948,SUI,3,4,2,9,w,1
1948,SWE,4,3,3,10,w,0
1948,TCH,0,1,0,1,w,0
1948,USA,3,3,2,8,w,0
1952,AUT,2,4,2,8,w,0
1952,CAN,1,0,1,2,w,0
1952,FIN,3,4,2,9,w,1
1952,FRA,0,0,1,1,w,0
1952,FRG,4,2,2,8,w,0
1952,GBR,1,0,0,1,w,0
1952,HUN,0,0,2,2,w,0
1952,ITA,1,0,1,2,w,0
1952,NED,0,3,0,3,w,0
1952,NOR,7,3,6,16,w,1
1952,SUI,0,0,2,2,w,0
1952,SWE,0,0,4,4,w,0
1952,USA,4,7,1,12,w,0
1956,AUT,5,3,4,12,w,0
1956,CAN,0,2,2,4,w,0
1956,EUA,1,0,1,2,w,0
1956,FIN,3,3,1,7,w,0
1956,HUN,0,0,2,2,w,0
1956,ITA,1,2,0,3,w,1
1956,JPN,0,1,0,1,w,0
1956,NOR,2,1,1,4,w,0
1956,POL,0,0,1,1,w,0
1956,SUI,3,2,1,6,w,0
1956,SWE,2,4,4,10,w,0
1956,URS,6,3,6,15,w,0
1956,USA,2,3,2,7,w,0
1960,AUT,1,2,3,6,w,0
1960,CAN,3,1,1,5,w,0
1960,EUA,4,4,1,9,w,0
1960,FIN,2,3,3,8,w,0
1960,FRA,1,0,2,3,w,0
1960,ITA,0,0,1,1,w,1
1960,NED,0,1,1,2,w,0
1960,NOR,3,3,0,6,w,0
1960,POL,0,1,1,2,w,0
1960,SUI,2,0,0,2,w,0
1960,SWE,3,2,2,7,w,0
1960,TCH,0,1,0,1,w,0
1960,URS,7,5,9,21,w,0
1960,USA,3,4,4,11,w,1
1964,AUT,4,5,3,12,w,1
1964,CAN,1,2,1,4,w,0
1964,EUA,3,4,3,10,w,0
1964,FIN,3,4,3,10,w,0
1964,FRA,3,4,0,7,w,0
1964,GBR,1,0,0,1,w,0
1964,ITA,0,1,3,4,w,0
1964,NED,1,1,0,2,w,0
1964,NOR,3,6,6,15,w,0
1964,PRK,0,1,0,1,w,0
1964,SWE,3,3,1,7,w,0
1964,TCH,0,0,1,1,w,0
1964,URS,12,7,6,25,w,0
1964,USA,1,2,5,8,w,0
1968,AUT,3,4,4,11,w,0
1968,CAN,1,1,1,3,w,0
1968,FIN,1,2,2,5,w,0
1968,FRA,4,3,2,9,w,1
1968,FRG,2,2,4,8,w,0
1968,GDR,1,2,2,5,w,0
1968,ITA,4,0,0,4,w,0
1968,NED,3,3,3,9,w,0
1968,NOR,6,6,2,14,w,0
1968,ROU,0,0,1,1,w,0
1968,SUI,0,2,4,6,w,0
1968,SWE,3,2,3,8,w,0
1968,TCH,1,2,1,4,w,0
1968,URS,6,6,3,15,w,0
1968,USA,1,3,1,5,w,0
1972,AUT,1,2,2,5,w,0
1972,CAN,0,1,0,1,w,0
1972,ESP,1,0,0,1,w,0
1972,FIN,0,4,1,5,w,0
1972,FRA,0,1,2,3,w,0
1972,FRG,3,1,1,5,w,0
1972,GDR,4,3,8,15,w,0
1972,ITA,2,2,1,5,w,0
1972,JPN,1,1,1,3,w,1
1972,NED,4,3,2,9,w,0
1972,NOR,2,5,5,12,w,0
1972,POL,1,0,0,1,w,0
1972,SUI,4,3,3,10,w,0
1972,SWE,1,1,2,4,w,0
1972,TCH,1,0,2,3,w,0
1972,URS,9,6,3,18,w,0
1972,USA,3,2,3,8,w,0
1976,AUT,2,2,2,6,w,1
1976,CAN,1,1,1,3,w,1
1976,FIN,2,4,1,7,w,0
1976,FRA,0,0,1,1,w,0
1976,FRG,2,5,3,10,w,0
1976,GBR,1,0,0,1,w,0
1976,GDR,7,6,8,21,w,0
1976,ITA,1,2,1,4,w,0
1976,LIE,0,0,2,2,w,0
1976,NED,1,2,3,6,w,0
1976,NOR,3,3,1,7,w,0
1976,SUI,1,3,1,5,w,0
1976,SWE,0,0,2,2,w,0
1976,TCH,0,1,0,1,w,0
1976,URS,15,7,8,30,w,0
1976,USA,3,3,5,11,w,0
1980,AUT,3,2,2,7,w,0
1980,BUL,0,0,1,1,w,0
1980,CAN,0,1,1,2,w,0
1980,FIN,1,5,3,9,w,0
1980,FRA,0,0,1,1,w,0
1980,FRG,0,2,3,5,w,0
1980,GBR,1,0,0,1,w,0
1980,GDR,9,7,8,24,w,0
1980,HUN,0,2,0,2,w,0
1980,ITA,0,2,0,2,w,0
1980,JPN,0,1,0,1,w,0
1980,LIE,2,2,0,4,w,0
1980,NED,1,2,1,4,w,0
1980,NOR,1,3,6,10,w,0
1980,SUI,1,1,3,5,w,0
1980,SWE,3,0,1,4,w,0
1980,TCH,0,0,1,1,w,0
1980,URS,12,7,7,26,w,0
1980,USA,6,4,2,12,w,1
1984,AUT,0,0,1,1,w,0
1984,CAN,2,1,1,4,w,0
1984,FIN,4,3,6,13,w,0
1984,FRA,0,1,2,3,w,0
1984,FRG,2,1,1,4,w,0
1984,GBR,2,0,0,2,w,0
1984,GDR,9,9,6,24,w,0
1984,ITA,2,0,0,2,w,0
1984,JPN,0,1,0,1,w,0
1984,LIE,0,0,2,2,w,0
1984,NOR,3,2,4,9,w,0
1984,SUI,2,2,1,5,w,0
1984,SWE,4,2,2,8,w,0
1984,TCH,0,2,4,6,w,0
1984,URS,7,11,11,29,w,0
1984,USA,4,5,0,9,w,1
1984,YUG,0,1,0,1,w,1
1988,AUT,3,5,2,10,w,0
1988,CAN,0,2,4,6,w,0
1988,FIN,4,1,2,7,w,0
1988,FRA,1,0,1,2,w,0
1988,FRG,2,4,2,8,w,0
1988,GDR,9,10,6,25,w,0
1988,ITA,2,1,2,5,w,0
1988,JPN,0,0,1,1,w,0
1988,LIE,0,0,1,1,w,0
1988,NED,3,2,2,7,w,0
1988,NOR,0,3,2,5,w,0
1988,SUI,5,5,5,15,w,0
1988,SWE,4,0,2,6,w,0
1988,TCH,0,1,2,3,w,0
1988,URS,13,11,9,33,w,0
1988,USA,2,1,4,7,w,0
1988,YUG,0,2,1,3,w,0
1992,AUT,6,7,8,21,w,0
1992,CAN,2,3,3,8,w,0
1992,CHN,0,3,0,3,w,0
1992,ESP,0,0,1,1,w,1
1992,EUN,11,7,9,27,w,0
1992,FIN,3,1,3,7,w,0
1992,FRA,3,6,1,10,w,1
1992,GER,10,10,6,26,w,0
1992,ITA,4,6,4,14,w,0
1992,JPN,1,2,4,7,w,0
1992,KOR,2,1,1,4,w,0
1992,LUX,0,2,0,2,w,0
1992,NED,1,1,2,4,w,0
1992,NOR,9,6,5,20,w,0
1992,NZL,0,1,0,1,w,0
1992,PRK,0,0,1,1,w,0
1992,SUI,1,0,2,3,w,0
1992,SWE,1,0,3,4,w,0
1992,TCH,0,0,3,3,w,0
1992,USA,5,4,2,11,w,0
1994,AUS,0,0,1,1,w,0
1994,AUT,2,3,4,9,w,0
1994,BLR,0,2,0,2,w,0
1994,CAN,3,6,5,14,w,0
1994,CHN,0,1,2,3,w,0
1994,FIN,0,1,5,6,w,0
1994,FRA,0,1,4,5,w,0
1994,GBR,0,0,3,3,w,0
1994,GER,9,7,8,24,w,0
1994,ITA,7,5,8,20,w,0
1994,JPN,1,2,2,5,w,0
1994,KAZ,1,2,0,3,w,0
1994,KOR,4,1,1,6,w,0
1994,NED,0,1,3,4,w,0
1994,NOR,10,11,5,26,w,1
1994,RUS,13,10,4,27,w,0
1994,SLO,0,0,3,3,w,0
1994,SUI,3,4,2,9,w,0
1994,SWE,2,1,0,3,w,0
1994,UKR,1,0,1,2,w,0
1994,USA,6,5,2,13,w,0
1994,UZB,1,0,0,1,w,0
1998,AUS,0,0,1,1,w,0
1998,AUT,3,5,9,17,w,0
1998,BEL,0,0,1,1,w,0
1998,BLR,0,0,2,2,w,0
1998,BUL,1,0,0,1,w,0
1998,CAN,6,5,4,15,w,0
1998,CHN,0,6,2,8,w,0
1998,CZE,1,1,1,3,w,0
1998,DEN,0,1,0,1,w,0
1998,FIN,2,4,6,12,w,0
1998,FRA,2,1,6,9,w,0
1998,GBR,0,0,1,1,w,0
1998,GER,12,9,9,30,w,0
1998,ITA,2,6,2,10,w,0
1998,JPN,5,1,4,10,w,1
1998,KAZ,0,0,2,2,w,0
1998,KOR,3,1,2,6,w,0
1998,NED,5,4,2,11,w,0
1998,NOR,10,10,5,25,w,0
1998,RUS,11,8,3,22,w,0
1998,SUI,2,2,3,7,w,0
1998,SWE,0,2,1,3,w,0
1998,UKR,0,1,0,1,w,0
1998,USA,6,3,4,13,w,0
2002,AUS,2,0,0,2,w,0
2002,AUT,3,4,10,17,w,0
2002,BLR,0,0,1,1,w,0
2002,BUL,0,1,2,3,w,0
2002,CAN,8,3,7,18,w,0
2002,CHN,2,2,5,9,w,0
2002,CRO,3,1,0,4,w,0
2002,CZE,1,2,0,3,w,0
2002,EST,1,1,1,3,w,0
2002,FIN,4,2,1,7,w,0
2002,FRA,5,5,2,12,w,0
2002,GBR,1,0,1,2,w,0
2002,GER,12,16,8,36,w,0
2002,ITA,4,4,6,14,w,0
2002,JPN,0,1,1,2,w,0
2002,KOR,2,2,0,4,w,0
2002,NED,3,5,0,8,w,0
2002,NOR,12,5,7,24,w,0
2002,POL,0,1,1,2,w,0
2002,RUS,6,5,4,15,w,0
2002,SLO,0,0,1,1,w,0
2002,SUI,3,2,6,11,w,0
2002,SWE,0,2,5,7,w,0
2002,USA,10,13,11,34,w,1
2006,AUS,1,0,1,2,w,0
2006,AUT,9,7,7,23,w,0
2006,BLR,0,1,0,1,w,0
2006,BUL,0,1,0,1,w,0
2006,CAN,7,10,7,24,w,0
2006,CHN,2,5,6,13,w,0
2006,CRO,1,2,0,3,w,0
2006,CZE,1,2,1,4,w,0
2006,EST,3,0,0,3,w,0
2006,FIN,0,6,3,9,w,0
2006,FRA,3,2,4,9,w,0
2006,GBR,0,1,0,1,w,0
2006,GER,11,12,6,29,w,0
2006,ITA,5,0,6,11,w,1
2006,JPN,1,0,0,1,w,0
2006,KOR,6,3,2,11,w,0
2006,LAT,0,0,1,1,w,0
2006,NED,3,2,4,9,w,0
2006,NOR,2,8,9,19,w,0
2006,POL,0,1,1,2,w,0
2006,RUS,10,6,8,24,w,0
2006,SUI,5,4,5,14,w,0
2006,SVK,0,1,0,1,w,0
2006,SWE,7,2,5,14,w,0
2006,UKR,0,0,3,3,w,0
2006,USA,9,10,7,26,w,0
2010,AUS,2,1,0,3,w,0
2010,AUT,4,6,6,16,w,0
2010,BLR,1,1,1,3,w,0
2010,CAN,15,7,5,27,w,1
2010,CHN,6,3,4,13,w,0
2010,CRO,0,2,1,3,w,0
2010,CZE,2,0,4,6,w,0
2010,EST,0,1,0,1,w,0
2010,FIN,0,1,4,5,w,0
2010,FRA,2,3,6,11,w,0
2010,GBR,1,0,0,1,w,0
2010,GER,10,13,8,31,w,0
2010,ITA,1,1,3,5,w,0
2010,JPN,0,3,2,5,w,0
2010,KAZ,0,1,0,1,w,0
2010,KOR,6,6,2,14,w,0
2010,LAT,0,2,0,2,w,0
2010,NED,4,1,3,8,w,0
2010,NOR,9,8,6,23,w,0
2010,POL,1,3,2,6,w,0
2010,RUS,3,5,8,16,w,0
2010,SLO,0,2,1,3,w,0
2010,SUI,6,0,3,9,w,0
2010,SVK,1,1,1,3,w,0
2010,SWE,5,2,4,11,w,0
2010,USA,9,16,13,38,w,0
2014,AUS,0,2,1,3,w,0
2014,AUT,4,8,5,17,w,0
2014,BLR,5,0,1,6,w,0
2014,CAN,10,12,5,27,w,0
2014,CHN,3,4,2,9,w,0
2014,CRO,0,1,0,1,w,0
2014,CZE,2,5,2,9,w,0
2014,FIN,1,3,1,5,w,0
2014,FRA,4,4,7,15,w,0
2014,GBR,1,1,2,4,w,0
2014,GER,9,6,6,21,w,0
2014,ITA,0,2,7,9,w,0
2014,JPN,1,4,3,8,w,0
2014,KAZ,0,0,1,1,w,0
2014,KOR,3,3,2,8,w,0
2014,LAT,0,2,3,5,w,0
2014,NED,8,7,9,24,w,0
2014,NOR,12,5,10,27,w,0
2014,POL,4,1,1,6,w,0
2014,RUS,15,13,10,38,w,1
2014,SLO,2,2,4,8,w,0
2014,SUI,6,3,2,11,w,0
2014,SVK,1,0,0,1,w,0
2014,SWE,2,7,6,15,w,0
2014,UKR,1,0,1,2,w,0
2014,USA,10,7,13,30,w,0
2018,AUS,0,2,1,3,w,0
2018,AUT,5,3,6,14,w,0
2018,BEL,0,1,0,1,w,0
2018,BLR,2,1,0,3,w,0
2018,CAN,11,8,10,29,w,0
2018,CHN,1,6,2,9,w,0
2018,CZE,2,2,3,7,w,0
2018,ESP,0,0,2,2,w,0
2018,FIN,1,1,4,6,w,0
2018,FRA,5,4,6,15,w,0
2018,GBR,1,0,4,5,w,0
2018,GER,14,10,7,31,w,0
2018,HUN,1,0,0,1,w,0
2018,ITA,3,2,5,10,w,0
2018,JPN,4,5,4,13,w,0
2018,KAZ,0,0,1,1,w,0
2018,KOR,5,8,4,17,w,1
2018,LAT,0,0,1,1,w,0
2018,LIE,0,0,1,1,w,0
2018,NED,8,6,6,20,w,0
2018,NOR,14,14,11,39,w,0
2018,NZL,0,0,2,2,w,0
2018,POL,1,0,1,2,w,0
2018,ROC,2,6,9,17,w,0
2018,SLO,0,1,1,2,w,0
2018,SUI,5,6,4,15,w,0
2018,SVK,1,2,0,3,w,0
2018,SWE,7,6,1,14,w,0
2018,UKR,1,0,0,1,w,0
2018,USA,9,8,6,23,w,0
2022,AUS,1,2,1,4,w,0
2022,AUT,7,7,4,18,w,0
2022,BEL,1,0,1,2,w,0
2022,BLR,0,2,0,2,w,0
2022,CAN,4,8,14,26,w,0
2022,CHN,9,4,2,15,w,1
2022,CZE,1,0,1,2,w,0
2022,ESP,0,1,0,1,w,0
2022,EST,0,0,1,1,w,0
2022,FIN,2,2,4,8,w,0
2022,FRA,5,7,2,14,w,0
2022,GBR,1,1,0,2,w,0
2022,GER,12,10,4,26,w,0
2022,HUN,1,0,2,3,w,0
2022,ITA,2,7,8,17,w,0
2022,JPN,3,6,9,18,w,0
2022,KOR,2,5,2,9,w,0
2022,LAT,0,0,1,1,w,0
2022,NED,8,5,4,17,w,0
2022,NOR,16,8,13,37,w,0
2022,NZL,2,1,0,3,w,0
2022,POL,0,0,1,1,w,0
2022,ROC,6,12,14,32,w,0
2022,SLO,2,3,2,7,w,0
2022,SUI,7,2,6,15,w,0
2022,SVK,1,0,1,2,w,0
2022,SWE,8,5,5,18,w,0
2022,UKR,0,1,0,1,w,0
2022,USA,8,10,7,25,w,0
1896,AUS,2,0,0,2,s,0
1896,AUT,2,1,2,5,s,0
1896,DEN,1,2,3,6,s,0
1896,FRA,5,4,2,11,s,0
1896,GBR,2,3,2,7,s,0
1896,GER,6,5,2,13,s,0
1896,GRE,10,17,18,45,s,0
1896,HUN,2,1,3,6,s,0
1896,SUI,1,2,0,3,s,0
1896,USA,11,6,2,19,s,0
1896,ZZX,1,1,1,3,s,0
1900,AUS,2,0,3,5,s,0
1900,AUT,0,3,3,6,s,0
1900,BEL,5,5,5,15,s,0
1900,BOH,0,1,1,2,s,0
1900,CAN,1,0,1,2,s,0
1900,CUB,1,1,0,2,s,0
1900,DEN,1,3,2,6,s,0
1900,ESP,1,0,0,1,s,0
1900,FRA,24,36,27,87,s,1
1900,GBR,16,6,8,30,s,0
1900,GER,3,2,1,6,s,0
1900,HUN,1,2,2,5,s,0
1900,IND,0,2,0,2,s,0
1900,ITA,2,2,0,4,s,0
1900,NED,0,1,3,4,s,0
1900,NOR,0,2,3,5,s,0
1900,SUI,5,1,1,7,s,0
1900,SWE,0,0,1,1,s,0
1900,USA,19,14,14,47,s,0
1900,ZZX,4,4,3,11,s,0
1904,AUT,0,0,1,1,s,0
1904,CAN,4,1,0,5,s,0
1904,CUB,4,2,3,9,s,0
1904,GBR,1,1,0,2,s,0
1904,GER,4,4,5,13,s,0
1904,GRE,1,0,1,2,s,0
1904,HUN,2,1,1,4,s,0
1904,SUI,1,0,1,2,s,0
1904,USA,77,82,74,233,s,1
1904,ZZX,1,1,0,2,s,0
1908,ANZ,1,2,2,5,s,0
1908,AUT,0,0,1,1,s,0
1908,BEL,1,5,2,8,s,0
1908,BOH,0,0,2,2,s,0
1908,CAN,3,3,9,15,s,0
1908,DEN,0,2,3,5,s,0
1908,FIN,1,1,3,5,s,0
1908,FRA,5,5,9,19,s,0
1908,GBR,56,51,36,143,s,1
1908,GER,4,5,6,15,s,0
1908,GRE,0,3,0,3,s,0
1908,HUN,3,4,2,9,s,0
1908,ITA,2,2,0,4,s,0
1908,NED,0,0,1,1,s,0
1908,NOR,2,3,3,8,s,0
1908,RSA,1,1,0,2,s,0
1908,RU1,1,2,0,3,s,0
1908,SWE,8,6,10,24,s,0
1908,USA,22,12,12,46,s,0
1912,ANZ,2,2,3,7,s,0
1912,AUT,0,2,2,4,s,0
1912,BEL,2,1,3,6,s,0
1912,CAN,3,2,3,8,s,0
1912,DEN,1,6,5,12,s,0
1912,FIN,9,8,9,26,s,0
1912,FRA,7,4,4,15,s,0
1912,GBR,11,16,16,43,s,0
1912,GER,6,13,7,26,s,0
1912,GRE,1,0,1,2,s,0
1912,HUN,3,2,3,8,s,0
1912,ITA,3,1,2,6,s,0
1912,NED,0,0,3,3,s,0
1912,NOR,4,1,4,9,s,0
1912,RSA,4,2,0,6,s,0
1912,RU1,0,2,3,5,s,0
1912,SWE,24,25,18,67,s,1
1912,USA,25,18,19,62,s,0
1920,AUS,0,2,1,3,s,0
1920,BEL,14,11,11,36,s,1
1920,BRA,1,1,1,3,s,0
1920,CAN,3,3,3,9,s,0
1920,DEN,3,9,1,13,s,0
1920,ESP,0,2,0,2,s,0
1920,EST,1,2,0,3,s,0
1920,FIN,16,10,9,35,s,0
1920,FRA,10,19,13,42,s,0
1920,GBR,16,16,14,46,s,0
1920,GRE,0,1,0,1,s,0
1920,ITA,13,5,4,22,s,0
1920,JPN,0,2,0,2,s,0
1920,LUX,0,1,0,1,s,0
1920,NED,4,2,5,11,s,0
1920,NOR,13,11,9,33,s,0
1920,NZL,0,0,1,1,s,0
1920,RSA,3,4,3,10,s,0
1920,SUI,2,2,7,11,s,0
1920,SWE,18,18,24,60,s,0
1920,TCH,0,0,3,3,s,0
1920,USA,41,27,27,95,s,0
1924,ARG,1,3,2,6,s,0
1924,AUS,3,1,2,6,s,0
1924,AUT,0,3,1,4,s,0
1924,BEL,3,7,3,13,s,0
1924,CAN,0,3,1,4,s,0
1924,DEN,2,5,2,9,s,0
1924,EST,1,1,4,6,s,0
1924,FIN,14,13,10,37,s,0
1924,FRA,13,14,10,37,s,1
1924,GBR,9,13,12,34,s,0
1924,HAI,0,0,1,1,s,0
1924,HUN,2,3,4,9,s,0
1924,ITA,8,3,5,16,s,0
1924,JPN,0,0,1,1,s,0
1924,NED,4,1,6,11,s,0
1924,NOR,5,2,3,10,s,0
1924,NZL,0,0,1,1,s,0
1924,POL,0,1,1,2,s,0
1924,POR,0,0,1,1,s,0
1924,ROU,0,0,1,1,s,0
1924,RSA,1,1,1,3,s,0
1924,SUI,7,8,10,25,s,0
1924,SWE,4,14,12,30,s,0
1924,TCH,1,4,5,10,s,0
1924,URU,1,0,0,1,s,0
1924,USA,46,28,27,101,s,0
1924,YUG,2,0,0,2,s,0
1928,ARG,3,3,1,7,s,0
1928,AUS,1,2,1,4,s,0
1928,AUT,2,0,1,3,s,0
1928,BEL,0,1,2,3,s,0
1928,CAN,4,4,7,15,s,0
1928,CHI,0,1,0,1,s,0
1928,DEN,3,1,3,7,s,0
1928,EGY,2,1,1,4,s,0
1928,ESP,1,0,0,1,s,0
1928,EST,2,1,2,5,s,0
1928,FIN,8,8,9,25,s,0
1928,FRA,7,9,5,21,s,0
1928,GBR,3,10,7,20,s,0
1928,GER,10,7,14,31,s,0
1928,HAI,0,1,0,1,s,0
1928,HUN,4,5,0,9,s,0
1928,IND,1,0,0,1,s,0
1928,IRL,1,0,0,1,s,0
1928,ITA,6,5,7,18,s,0
1928,JPN,2,2,1,5,s,0
1928,NED,6,10,4,20,s,1
1928,NOR,1,2,1,4,s,0
1928,NZL,1,0,0,1,s,0
1928,PHI,0,0,1,1,s,0
1928,POL,1,1,3,5,s,0
1928,RSA,1,0,2,3,s,0
