,,,
Year,Country,Country Code,City
1900,France,FRA,Paris
1904,USA,USA,St. Louis
1908,UK,GBR,London
1912,Sweden,SWE,Stockholm
1920,Belgium,BEL,Antwerp
1924,France,FRA,Paris
1924,France,FRA,Chamonix
1928,Netherlands,NLD,Amsterdam
1928,Switzerland,CHE,St. Moritz
1932,USA,USA,Los Angeles
1932,USA,USA,Lake Placid
1936,Germany,DEU,Berlin
1936,Germany,DEU,Garmisch-Partenkirchen
1948,UK,GBR,London
1948,Switzerland,CHE,St. Moritz
1952,Finland,FIN,Helsinki
1952,Norway,NOR,Oslo
1956,Australia,AUS,Melbourne
1956,Italy,ITA,Cortina d'Ampezzo
1960,Italy,ITA,Rome
1960,USA,USA,Squaw Valley
1964,Japan,JPN,Tokyo
1964,Austria,AUT,Innsbruck
1968,Mexico,MEX,Mexico City
1968,France,FRA,Grenoble
1972,Germany,DEU,Munich
1972,Japan,JPN,Sapporo
1976,Canada,CAN,Montreal
1976,Austria,AUT,Innsbruck
1980,Soviet Union,SUN,Moscow
1980,USA,USA,Lake Placid
1984,USA,USA,Los Angeles
1984,Yugoslavia,YUG,Sarajevo
1988,South Korea,KOR,Seoul
1992,Spain,ESP,Barcelona
1992,France,FRA,Albertville
1994,Norway,NOR,Lillehammer
1996,USA,USA,Atlanta
1998,Japan,JPN,Nagano
2000,Australia,AUS,Sydney
2002,USA,USA,Salt Lake City
2004,Greece,GRC,Athens
2006,Italy,ITA,Turin
2008,China,CHN,Beijing
2010,Canada,CAN,Vancouver
2012,UK,GBR,London
2014,Russia,RUS,Sochi
2016,Brazil,BRA,Rio de Janeiro
2018,South Korea,KOR,Pyeongchang
2020,Japan,JPN,Tokyo
2022,China,CHN,Beijing
2024,France,FRA,Paris
2026,Italy,ITA,Milan-Cortina
2028,USA,USA,Los Angeles
2032,Australia,AUS,Brisbane